name,link,category,subcategory,price,size,condition,color,views,interested
Giacca Bianca,https://www.vinted.fr/femmes/vetements/blazers-and-tailleurs-532/2916202895-giacca-bianca,Blazers et tailleurs,Blazers,10.0,TAILLE UNIQUE,3,"BLANC, CRÈME",155,0.0
jean évasé,https://www.vinted.fr/femmes/vetements/jeans/jeans-evases/2821020313-jean-evase,Jeans,Jeans évasés,5.0,XS / 34 / 6,4,"BLEU, BLEU CLAIR",51,1.0
Veste courte,https://www.vinted.fr/femmes/vetements/blazers-and-tailleurs-532/2915721943-veste-courte,Blazers et tailleurs,Blazers,34.0,S / 36 / 8,5,BLEU,395,1.0
Veste velours Zara,https://www.vinted.fr/femmes/vetements/manteaux-and-vestes/vestes/vestes-chemises/2914091303-veste-velours-zara,Vestes,Vestes chemises,6.0,XXXL / 46 / 18,1,KAKI,126,0.0
Boucles zara créoles pièces,https://www.vinted.fr/femmes/accessoires/bijoux/boucles-doreilles/2909232477-boucles-zara-creoles-pieces,Bijoux,Boucles d'oreilles,10.0,,3,DORÉ,191,14.0
Gilet en jean sans manche Zara,https://www.vinted.fr/femmes/vetements/manteaux-and-vestes/vestes-sans-manches/2915276959-gilet-en-jean-sans-manche-zara,Manteaux et vestes,Vestes sans manches,15.0,S / 36 / 8,5,"BLEU, BLEU CLAIR",159,3.0
Bolso saco tachuelas negro mujer Zara,https://www.vinted.fr/mujer/bolsos/bolsos-de-hombro/2912598206-bolso-saco-tachuelas-negro-mujer-zara,Sacs,Sacs à bandoulière,18.0,,2,NOIR,488,54.0
Blouse zara,https://www.vinted.fr/enfants/filles/chemises-and-t-shirts/autre/2906122874-blouse-zara,Chemises & t-shirts,Autre,5.0,14 ANS / 158-164 CM,3,BLANC,63,0.0
Boucles zara effet soleil,https://www.vinted.fr/femmes/accessoires/bijoux/boucles-doreilles/2910276865-boucles-zara-effet-soleil,Bijoux,Boucles d'oreilles,10.0,,3,DORÉ,113,9.0
Chaqueta efecto piel oversize zara,https://www.vinted.fr/femmes/vetements/manteaux-and-vestes/vestes/blousons-aviateur/2907020987-chaqueta-efecto-piel-oversize-zara,Vestes,Blousons aviateur,38.0,L / 40 / 12,5,NOIR,318,24.0
Precioso vestido floreado,https://www.vinted.fr/mujer/ropa/vestidos/midi/2857902661-precioso-vestido-floreado,Robes,Midi,4.0,M / 38 / 10,3,MULTICOLORE,526,0.0
robe longue maille,https://www.vinted.fr/femmes/vetements/robes/autres-robes/2884218488-robe-longue-maille,Robes,Autres robes,10.0,S / 36 / 8,3,NOIR,174,4.0
Petit gilet rouge en laine Zara,https://www.vinted.fr/femmes/vetements/sweats-and-sweats-a-capuche/cardigans/2838804618-petit-gilet-rouge-en-laine-zara,Sweats et sweats à capuche,Cardigans,12.0,L / 40 / 12,3,ROUGE,78,9.0
Manteau zara moutarde,https://www.vinted.fr/femmes/vetements/manteaux-and-vestes/manteaux/pardessus-et-manteaux-longs/2910820364-manteau-zara-moutarde,Manteaux,Pardessus et manteaux longs,8.0,XS / 34 / 6,3,MOUTARDE,146,1.0
Ensemble Zara,https://www.vinted.fr/enfants/garcons/bebe-garcon/ensembles/2917646996-ensemble-zara,Bébé garçons,Ensembles,8.0,18-24 MOIS / 86-92 CM,4,"NOIR, BLEU CLAIR",63,0.0
Chaleco Zara,https://www.vinted.fr/femmes/vetements/manteaux-and-vestes/vestes-sans-manches/2879700868-chaleco-zara,Manteaux et vestes,Vestes sans manches,10.0,S / 36 / 8,4,MULTICOLORE,188,18.0
Giacca Bianca,https://www.vinted.fr/femmes/vetements/blazers-and-tailleurs-532/2916202895-giacca-bianca,Blazers et tailleurs,Blazers,10.0,TAILLE UNIQUE,3,"BLANC, CRÈME",159,0.0
jean évasé,https://www.vinted.fr/femmes/vetements/jeans/jeans-evases/2821020313-jean-evase,Jeans,Jeans évasés,5.0,XS / 34 / 6,4,"BLEU, BLEU CLAIR",54,1.0
Veste courte,https://www.vinted.fr/femmes/vetements/blazers-and-tailleurs-532/2915721943-veste-courte,Blazers et tailleurs,Blazers,34.0,S / 36 / 8,5,BLEU,400,1.0
Veste velours Zara,https://www.vinted.fr/femmes/vetements/manteaux-and-vestes/vestes/vestes-chemises/2914091303-veste-velours-zara,Vestes,Vestes chemises,6.0,XXXL / 46 / 18,1,KAKI,129,0.0
Boucles zara créoles pièces,https://www.vinted.fr/femmes/accessoires/bijoux/boucles-doreilles/2909232477-boucles-zara-creoles-pieces,Bijoux,Boucles d'oreilles,10.0,,3,DORÉ,192,15.0
Gilet en jean sans manche Zara,https://www.vinted.fr/femmes/vetements/manteaux-and-vestes/vestes-sans-manches/2915276959-gilet-en-jean-sans-manche-zara,Manteaux et vestes,Vestes sans manches,15.0,S / 36 / 8,5,"BLEU, BLEU CLAIR",159,3.0
Bolso saco tachuelas negro mujer Zara,https://www.vinted.fr/mujer/bolsos/bolsos-de-hombro/2912598206-bolso-saco-tachuelas-negro-mujer-zara,Sacs,Sacs à bandoulière,18.0,,2,NOIR,489,54.0
Blouse zara,https://www.vinted.fr/enfants/filles/chemises-and-t-shirts/autre/2906122874-blouse-zara,Chemises & t-shirts,Autre,5.0,14 ANS / 158-164 CM,3,BLANC,65,0.0
Boucles zara effet soleil,https://www.vinted.fr/femmes/accessoires/bijoux/boucles-doreilles/2910276865-boucles-zara-effet-soleil,Bijoux,Boucles d'oreilles,10.0,,3,DORÉ,114,9.0
Chaqueta efecto piel oversize zara,https://www.vinted.fr/femmes/vetements/manteaux-and-vestes/vestes/blousons-aviateur/2907020987-chaqueta-efecto-piel-oversize-zara,Vestes,Blousons aviateur,38.0,L / 40 / 12,5,NOIR,319,24.0
Precioso vestido floreado,https://www.vinted.fr/mujer/ropa/vestidos/midi/2857902661-precioso-vestido-floreado,Robes,Midi,4.0,M / 38 / 10,3,MULTICOLORE,529,0.0
robe longue maille,https://www.vinted.fr/femmes/vetements/robes/autres-robes/2884218488-robe-longue-maille,Robes,Autres robes,10.0,S / 36 / 8,3,NOIR,177,4.0
Petit gilet rouge en laine Zara,https://www.vinted.fr/femmes/vetements/sweats-and-sweats-a-capuche/cardigans/2838804618-petit-gilet-rouge-en-laine-zara,Sweats et sweats à capuche,Cardigans,12.0,L / 40 / 12,3,ROUGE,81,9.0
Manteau zara moutarde,https://www.vinted.fr/femmes/vetements/manteaux-and-vestes/manteaux/pardessus-et-manteaux-longs/2910820364-manteau-zara-moutarde,Manteaux,Pardessus et manteaux longs,8.0,XS / 34 / 6,3,MOUTARDE,147,1.0
Ensemble Zara,https://www.vinted.fr/enfants/garcons/bebe-garcon/ensembles/2917646996-ensemble-zara,Bébé garçons,Ensembles,8.0,18-24 MOIS / 86-92 CM,4,"NOIR, BLEU CLAIR",64,0.0
Chaleco Zara,https://www.vinted.fr/femmes/vetements/manteaux-and-vestes/vestes-sans-manches/2879700868-chaleco-zara,Manteaux et vestes,Vestes sans manches,10.0,S / 36 / 8,4,MULTICOLORE,189,18.0
Giacca Bianca,https://www.vinted.fr/femmes/vetements/blazers-and-tailleurs-532/2916202895-giacca-bianca,Blazers et tailleurs,Blazers,10.0,TAILLE UNIQUE,3,"BLANC, CRÈME",162,0.0
jean évasé,https://www.vinted.fr/femmes/vetements/jeans/jeans-evases/2821020313-jean-evase,Jeans,Jeans évasés,5.0,XS / 34 / 6,4,"BLEU, BLEU CLAIR",56,1.0
Veste courte,https://www.vinted.fr/femmes/vetements/blazers-and-tailleurs-532/2915721943-veste-courte,Blazers et tailleurs,Blazers,34.0,S / 36 / 8,5,BLEU,408,1.0
Veste velours Zara,https://www.vinted.fr/femmes/vetements/manteaux-and-vestes/vestes/vestes-chemises/2914091303-veste-velours-zara,Vestes,Vestes chemises,6.0,XXXL / 46 / 18,1,KAKI,132,0.0
Boucles zara créoles pièces,https://www.vinted.fr/femmes/accessoires/bijoux/boucles-doreilles/2909232477-boucles-zara-creoles-pieces,Bijoux,Boucles d'oreilles,10.0,,3,DORÉ,193,15.0
Gilet en jean sans manche Zara,https://www.vinted.fr/femmes/vetements/manteaux-and-vestes/vestes-sans-manches/2915276959-gilet-en-jean-sans-manche-zara,Manteaux et vestes,Vestes sans manches,15.0,S / 36 / 8,5,"BLEU, BLEU CLAIR",162,3.0
Bolso saco tachuelas negro mujer Zara,https://www.vinted.fr/mujer/bolsos/bolsos-de-hombro/2912598206-bolso-saco-tachuelas-negro-mujer-zara,Sacs,Sacs à bandoulière,18.0,,2,NOIR,489,54.0
Blouse zara,https://www.vinted.fr/enfants/filles/chemises-and-t-shirts/autre/2906122874-blouse-zara,Chemises & t-shirts,Autre,5.0,14 ANS / 158-164 CM,3,BLANC,65,0.0
Boucles zara effet soleil,https://www.vinted.fr/femmes/accessoires/bijoux/boucles-doreilles/2910276865-boucles-zara-effet-soleil,Bijoux,Boucles d'oreilles,10.0,,3,DORÉ,115,9.0
Chaqueta efecto piel oversize zara,https://www.vinted.fr/femmes/vetements/manteaux-and-vestes/vestes/blousons-aviateur/2907020987-chaqueta-efecto-piel-oversize-zara,Vestes,Blousons aviateur,38.0,L / 40 / 12,5,NOIR,324,24.0
Precioso vestido floreado,https://www.vinted.fr/mujer/ropa/vestidos/midi/2857902661-precioso-vestido-floreado,Robes,Midi,4.0,M / 38 / 10,3,MULTICOLORE,532,0.0
robe longue maille,https://www.vinted.fr/femmes/vetements/robes/autres-robes/2884218488-robe-longue-maille,Robes,Autres robes,10.0,S / 36 / 8,3,NOIR,180,4.0
Petit gilet rouge en laine Zara,https://www.vinted.fr/femmes/vetements/sweats-and-sweats-a-capuche/cardigans/2838804618-petit-gilet-rouge-en-laine-zara,Sweats et sweats à capuche,Cardigans,12.0,L / 40 / 12,3,ROUGE,82,9.0
Manteau zara moutarde,https://www.vinted.fr/femmes/vetements/manteaux-and-vestes/manteaux/pardessus-et-manteaux-longs/2910820364-manteau-zara-moutarde,Manteaux,Pardessus et manteaux longs,8.0,XS / 34 / 6,3,MOUTARDE,148,1.0
Ensemble Zara,https://www.vinted.fr/enfants/garcons/bebe-garcon/ensembles/2917646996-ensemble-zara,Bébé garçons,Ensembles,8.0,18-24 MOIS / 86-92 CM,4,"NOIR, BLEU CLAIR",65,0.0
Chaleco Zara,https://www.vinted.fr/femmes/vetements/manteaux-and-vestes/vestes-sans-manches/2879700868-chaleco-zara,Manteaux et vestes,Vestes sans manches,10.0,S / 36 / 8,4,MULTICOLORE,189,18.0
Giacca Bianca,https://www.vinted.fr/femmes/vetements/blazers-and-tailleurs-532/2916202895-giacca-bianca,Blazers et tailleurs,Blazers,10.0,TAILLE UNIQUE,3,"BLANC, CRÈME",167,0.0
